title,sent_id,sentence
Niklas Bergqvist,4,"The second, and final, studio album was produced by Swedish pop star Harpo."
Niklas Bergqvist,5,"After the band split - up in 1987, Bergqvist formed and played in several other bands until he decided to focus more on songwriting, resulting in several releases ever since."
Niklas Bergqvist,6,"In 2015, he founded the independent record label Tracks of Sweden with songwriting partner Simon Johansson."
Pacific Fair Shopping Centre,0,"Pacific Fair is a major shopping centre in Broadbeach Waters on the Gold Coast, Queensland, Australia."
Pacific Fair Shopping Centre,1,It was Queensland's largest regional shopping centre until 2006.
Pacific Fair Shopping Centre,2,Pacific Fair was developed by Hooker Retail Developments and opened in 1977 on what was swampland with 96 specialty stores and two anchor tenants.
Pacific Fair Shopping Centre,3,"Since then, Pacific Fair has undergone numerous expansions and has grown to have more than 300 specialty stores and four anchor tenants."
Pacific Fair Shopping Centre,4,"In January 2014, work began on a major redevelopment project to meet the predicted regional growth on the Gold Coast."
Pacific Fair Shopping Centre,5,"Prior to the redevelopment, the shopping centre had four main major stores including a four - level Myer, Kmart, Target, Coles and Toys'R'Us."
Pacific Fair Shopping Centre,6,"Daimaru operated in the centre before its Australian withdrawal, albeit briefly."
Pacific Fair Shopping Centre,7,It also had a 12-screen Birch Carroll and Coyle Cinema (re - opened as Event Cinemas in late 2015).
Pacific Fair Shopping Centre,8,"Pacific Fair is a major public transport interchange on the Gold Coast, serviced by Surfside Buslines, and the Broadbeach South station located not far from the shopping centre."
Pacific Fair Shopping Centre,9,Nearby is The Star Gold Coast and Gold Coast Convention & Exhibition Centre.
Pacific Fair Shopping Centre,10,Pacific Fair fronts Little Tallebudgera Creek and is the southern end of the Surfers Riverwalk.
Pacific Fair Shopping Centre,11,This shopping centre was featured on the third season of The Mole.
Ministry of Home Security,0,The Ministry of Home Security was a British government department established in 1939 to direct national civil defence (primarily tasked with organising air raid precautions) during the Second World War.
Ministry of Home Security,1,The Ministry for Home Security was headed by Sir John Anderson the Home Secretary and Minister of Home Security.
Ministry of Home Security,2,"The Ministry's responsibilities covered all central and regional civil defence organisations (such as air raid wardens, rescue squads, fire services, and the Women ’s Voluntary Service)."
Ministry of Home Security,3,"It was also responsible for giving approval to local ARP schemes, and providing public shelters."
Ministry of Home Security,4,The Ministry (run under the auspices of the Home Office) produced hundreds of leaflets that were delivered to the population advising on how to deal with the impending air raids.
Ministry of Home Security,5,"It also managed propaganda poster campaigns to encourage, amongst other things, the carrying of gas masks and for volunteers to join civil defence groups like the Fire Guards."
Ministry of Home Security,6,"In October 1940, Sir John Anderson was replaced by Herbert Morrison in a reshuffle precipitated by Neville Chamberlain's resignation due to ill - health."
Ministry of Home Security,7,With the Allied victory in Europe the Ministry was disbanded in May 1945.
"The Lakes, Western Australia",0,The Lakes is a locality in Western Australia within the Shire of Mundaring.
"The Lakes, Western Australia",1,"It is located east of the capital city of Perth at the junction of the Great Eastern Highway and the Great Southern Highway, and is the easternmost suburb within the Metropolitan Region Scheme."
"The Lakes, Western Australia",2,"At the, The Lakes had a population of 45."
"The Lakes, Western Australia",3,The main features of the community include a roadhouse and service station at the junction between the highways.
"The Lakes, Western Australia",4,It borders on the western ward of the Shire of Northam and the community of Woottating.
"The Lakes, Western Australia",5,It is also the locality in which Buckeridge Group of Companies (BGC) have quarrying operations.
"The Lakes, Western Australia",6,"BGC trucks carting material from the quarry use as their main route the Great Eastern Highway to various locations in the Perth metropolitan area, including the brick manufacturing location close to Perth Airport."
"The Lakes, Western Australia",7,"From the junction it is possible to travel to Northam on the northern fork, or York on the southern fork."
"Alton, Illinois",0,"Alton is a city on the Mississippi River in Madison County, Illinois, United States, about north of St. Louis, Missouri."
"Alton, Illinois",1,"The population was 27,865 at the 2010 census."
"Alton, Illinois",2,It is a part of the Metro - East region of the Greater St. Louis metropolitan area.
"Alton, Illinois",3,"It is famous for its limestone bluffs along the river north of the city, for its role preceding and during the American Civil War, and as the home town of jazz musician Miles Davis and Robert Wadlow, the tallest known person in history."
"Alton, Illinois",4,It was the site of the last Abraham Lincoln and Stephen Douglas debate in October 1858.
"Alton, Illinois",5,"The former state penitentiary in Alton was used during the Civil War to hold up to 12,000 Confederate prisoners of war."
Us and Them (Godflesh album),0,Us and Them is the fifth studio album by English band Godflesh.
Us and Them (Godflesh album),1,It was released through Earache Records on 17 May 1999 in Europe and on 8 June 1999 in North America.
Us and Them (Godflesh album),2,"As with Godflesh's 1997 remix album Love and Hate in Dub, Us and Them is influenced by breakbeats, drum and bass, oldschool jungle, trip hop and hip hop."
Us and Them (Godflesh album),3,"Shortly after Us and Them's release, Godflesh frontman Justin Broadrick admitted that he "" hated "" the album as it was the expression of an "" identity crisis ""."
Us and Them (Godflesh album),4,"Years later, he revised his thoughts, saying that his hatred of Us and Them was "" overstated "", and that his main issue in the album lies in its more "" cringe - worthy moments. """
Nicola Lake,0,"Nicola Lake is a glacially formed narrow, deep lake located in the South - Central Interior of British Columbia, Canada approximately thirty kilometres northeast of the city of Merritt."
Nicola Lake,1,"It was a centrepoint of the first settlements in the grasslands lying south of Kamloops, and today is used for recreation and as a water storage site to provide irrigation and water flows to fisheries downstream in the Nicola River."
Nicola Lake,2,"The lake is important in the history of the local Nicola people as the location of one of their major communities, Nicola Lake Indian Reserve No."
Nicola Lake,3,"1, which lies on its eastern shore and is the home of the Upper Nicola Indian Band."
Nicola Lake,4,"Many of the band work for the Douglas Lake Cattle Company, aka the Douglas Lake Ranch, whose headquarters are also adjacent to the lake."
Jonas Geirnaert,0,"Jonas Geirnaert (born July 28, 1982) studied animation at the KASK in Ghent."
Jonas Geirnaert,1,In May 2004 he won the Short Film Jury Prize at the Cannes Film Festival with his animated short Flatlife (11 min).
Jonas Geirnaert,2,Of the copy he sent in for selection only the first minute had sound.
Jonas Geirnaert,3,"This is because this was his graduation project, and it was n't completely finished at the final date for selection entries."
Jonas Geirnaert,4,"Although Flatlife has no political message, Jonas'previous movie, The All - American Alphabet, clearly has one."
Jonas Geirnaert,5,"On stage in Cannes, Jonas had a message for all Americans: "" Do n't vote Bush ""."
Jonas Geirnaert,6,"At that moment such statements were very popular, however his political preference has to be situated in the extreme - left corner as he is a militant for the marxist party Workers Party of Belgium."
Jonas Geirnaert,7,"In the fall of 2005 Geirnaert made the TV comedy series Neveneffecten for Canvas (public Flemish television) with his fellow comedians Lieven Scheire, Koen De Poorter and Jelle De Beule."
Jonas Geirnaert,8,"In 2011 this same group of four made the television show BASTA which also offered satirical critique on current cultural phenomenon, like help desks, uncritical journalism, television call games, the production of meat and internet scammers."
Jonas Geirnaert,9,"Through their actions some of the more fraudulent abuses have been put to a stop, e.g."
Jonas Geirnaert,10,the de facto illegal television calling games have been banned from television in Flanders.
Second River (New Jersey),0,"The Second River, or Watsessing River, in the state of New Jersey in the United States, is the second main tributary of the Passaic River encountered while travelling upstream from its mouth at Newark Bay."
Second River (New Jersey),1,"From its source in West Orange to the Passaic, it is approximately 5   mi (8   km) long."
Second River (New Jersey),2,"From West Orange, the Second River passes generally easterly through the towns of Orange and East Orange, where it is joined by Wigwam, Parrow, and Nishuane Brooks, then turns slightly to the north (though still generally easterly), and enters the town of Bloomfield."
Second River (New Jersey),3,"Here, at Watsessing Park, it is joined by Toney's Brook."
Second River (New Jersey),4,"After leaving Bloomfield, it enters the town of Belleville (which was, early in its history, also named "" Second River ""), and turns slightly to the south (though still generally easterly)."
Second River (New Jersey),5,"Soon into Belleville, it forms the border between Belleville and Newark."
Second River (New Jersey),6,"Finally, it joins the Passaic River, on its way to Newark Bay."
Second River (New Jersey),7,"In the 19th and early 20th centuries, the Second River supported a sizable industrial complex of mills and factories."
Second River (New Jersey),8,The Reformed Dutch Church of Second River is named after this river.
"Monson, Maine",0,"Monson is a town in Piscataquis County, Maine, United States."
"Monson, Maine",1,The population was 686 at the 2010 census.
"Monson, Maine",2,"The town is located on Route 15 which is a somewhat major route north to the well known Moosehead Lake Region, to which Monson is sometimes considered a gateway."
"Monson, Maine",3,This route eventually leads to the Canadian Province of Quebec.
"Monson, Maine",4,"The town is well known in local and state history, but is minimally known elsewhere, although contributions by the town, and its location are notable."
"Monson, Maine",5,It is the last town located on the Appalachian Trail at the beginning (or end) of the 100-Mile Wilderness.
"Monson, Maine",6,"It is not uncommon to see many hikers in town resting before (or after) their trip into the Wilderness, and several lodging places in town cater directly to these hikers."
Thomas Wolff,0,"Thomas Wolff (July 14, 1954, New York City – July 31, 2000, Kern County) was a noted mathematician, working primarily in the fields of harmonic analysis, complex analysis, and partial differential equations."
Thomas Wolff,1,As an undergraduate at Harvard University he regularly played poker with his classmate Bill Gates.
Thomas Wolff,2,"While a graduate student at the University of California, Berkeley from 1976 to 1979, under the direction of Donald Sarason, he obtained a new proof of the corona theorem, a famously difficult theorem in complex analysis."
Thomas Wolff,3,"He was made Professor of Mathematics at Caltech in 1986, and was there from 1988 – 1992 and from 1995 to his death in a car accident in 2000."
Thomas Wolff,4,"He also held positions at the University of Washington, University of Chicago, New York University, and University of California, Berkeley."
Thomas Wolff,5,"He received the Salem Prize in 1985 and the Bôcher Memorial Prize in 1999, for his contributions to analysis and particularly to the Kakeya conjecture."
Sam Cohen (Australian politician),0,"Samuel Herbert Cohen (26 October 1918 – 7 October 1969) was an Australian politician, and was the first Jew to be elected to the Australian Senate."
Sam Cohen (Australian politician),1,"He was born in Sydney, he was educated at Wesley College, Melbourne and then the University of Melbourne."
Sam Cohen (Australian politician),2,"He was active in left - wing student politics, and as President of the Melbourne University Students'Representative Council was a founding member of the executive committee of the National Union of Australian University Students."
Sam Cohen (Australian politician),3,He served in the military from 1942 to 1943 and became a barrister in 1946.
Sam Cohen (Australian politician),4,"In 1961, he was elected to the Australian Senate as a Labor Senator for Victoria."
Sam Cohen (Australian politician),5,He held the seat until his death in 1969; Bill Brown was appointed to replace him.
Basil Gooden,0,Basil Ivanhoe Gooden is an American politician who served as the 3rd Virginia Secretary of Agriculture and Forestry under Governor Terry McAuliffe.
Basil Gooden,1,"He became the first African - American to serve in this position and during his tenure from September 2016 until January 2018, he was the only black Secretary of Agriculture in any state in the United States."
Basil Gooden,2,"In his capacity as Secretary, he worked to support Governor McAuliffe ’s mission of building a new Virginia economy in agriculture and forestry, two of Virginia ’s largest private industries with an annual economic impact of $ 91 billion on the Commonwealth."
Basil Gooden,3,"Prior to serving as Secretary, Gooden was appointed by then President Barack Obama to serve as the state director for USDA – Rural Development in Virginia."
Basil Gooden,4,"In that position, he served as the chief executive officer of this federal agency that allocated approximately $ 1.25 billion annually to improve the economy and quality of life in rural Virginians."
Basil Gooden,5,Gooden served for twelve years as the Chief Deputy Director of the Virginia Department of Housing and Community Development (DHCD) in the administrations of four Virginia governors.
Basil Gooden,6,"He was initially appointed to this position by Governor Mark R. Warner and subsequently re - appointed and served in the administrations of Governors Timothy M. Kaine (D), Robert F. McDonnell (R), and Terry McAuliffe (D)."
Andrew Kiss,0,"Andrew Kiss is a Canadian artist, who focuses primarily on landscape art, particularly oil painting."
Andrew Kiss,1,"Born in Hungary in 1946, he and his family emigrated to Canada in 1957."
Andrew Kiss,2,"After arriving on the East Coast of Canada, they moved to the Vancouver Island, Cowichan Lake area in British Columbia."
Andrew Kiss,3,Kiss spent his early adulthood employed as a draftsman.
Andrew Kiss,4,"After being transferred to the town of Mackenzie, British Columbia in 1974, he began to spend more time on his art."
Andrew Kiss,5,"Kiss has exhibited in Hong Kong, Switzerland, England, Austria, New Zealand and Germany."
Andrew Kiss,6,"In North America he has exhibited in Florida, South Carolina, Las Vegas, Montana, Phoenix, Seattle, and in Canada."
Andrew Kiss,7,"He currently lives in Calgary, Alberta, Canada."
Nabacalis,0,"Nabacalis is a community on the East Coast of Demerara, in the Demerara - Mahaica region."
Nabacalis,1,"It is in low - lying country by the coast, which is subject to flooding in the rainy season."
Nabacalis,2,"The community is served by the Dr. CC Nicholson Hospital, but as of 2012 it was not staffed with doctors around the clock."
Nabacalis,3,"The hospital was established as a medical center in 1994 with funds from the London - based Cyril Charles Nicholson Foundation, and the government began to upgrade it in 2003 to give residents of Nabaclis and nearby communities an alternative to going into Georgetown for treatment."
Nabacalis,4,"The artist Emerson Samuels was born and brought up here, studying at the Golden Grove Methodist School."
Nabacalis,5,Also born here was conductor Rudolph Dunbar.
The One and Only (Lil Wyte album),0,"The One and Only is the third studio album by Memphis rapper, Lil Wyte."
The One and Only (Lil Wyte album),1,"It was released on June 5, 2007."
The One and Only (Lil Wyte album),2,""" Talkin'Ai nt Walkin'"" is the first single from the album."
The One and Only (Lil Wyte album),3,The entire album was produced by DJ Paul and Juicy J.
The One and Only (Lil Wyte album),4,"The album debuted at # 46 on the Billboard 200 & sold 15,600 copies the first week, it has sold over 120,000 copies in the U.S. to date."
The One and Only (Lil Wyte album),5,The album got positive reviews and is Lil Wyte's best charting album to date not counting the album which he made with Three 6 Mafia.
The One and Only (Lil Wyte album),6,"Rhapsody (online music service) praised the album, including it in its list of "" The 10 Best Albums By White Rappers ""."
List of High Commissioners of New Zealand to Fiji,0,"The High Commissioner from New Zealand to Fiji is New Zealand's foremost diplomatic representative in the Republic of the Fiji Islands, and in charge of New Zealand's diplomatic mission in Fiji."
List of High Commissioners of New Zealand to Fiji,1,"The High Commission is located in Suva, Fiji's capital city."
List of High Commissioners of New Zealand to Fiji,2,New Zealand first maintained a resident Head of Mission in Fiji since 1970.
List of High Commissioners of New Zealand to Fiji,3,The Ambassador to Fiji is concurrently accredited to Nauru and Tuvalu.
List of High Commissioners of New Zealand to Fiji,4,"As fellow members of the Commonwealth of Nations, diplomatic relations between New Zealand and Fiji are at governmental level, rather than between Heads of State."
List of High Commissioners of New Zealand to Fiji,5,"Thus, the countries exchange High Commissioners, rather than ambassadors."
List of High Commissioners of New Zealand to Fiji,6,"Between 1987 and 1997, this was not the case; after the Coups of 1987, Fiji was expelled from the Commonwealth, but rejoined after the promulgation of a new constitution in 1997."
List of High Commissioners of New Zealand to Fiji,7,"Hence, from 1987 until 1997, New Zealand was represented in Fiji by an ambassador."
Olen (poet),0,"Olen () was a legendary early poet from Lycia who went to Delos, where his hymns celebrating the first handmaidens of Apollo in the island of the god's birth and other "" ancient hymns "" were still part of the cult at Delos in the time of Herodotus:"
Olen (poet),1,The hieratic poetry of Olen is now entirely lost.
Olen (poet),2,"Pausanias wrote, "" The Lycian Olen, an earlier poet, who composed for the Delians, among other hymns, one to Eileithyia, styles her'the clever spinner', clearly identifying her with fate, and makes her older than Cronos. """
Olen (poet),3,(Description of Greece 8.21.3).
Olen (poet),4,"Apparently Olen's hymn reflected the pre - Hellenic role of Eileithyia, whom Olympian mythographers like Hesiod recast as a daughter of Zeus and Hera."
Olen (poet),5,The Delphian Pythia Boeo attributed to him the introduction of the cult of Apollo and the invention of the epic meter.
Olen (poet),6,"Many hymns, nomes (simple songs to accompany the circular dance of the chorus), and oracles, attributed to Olen, were preserved in Delos, revered as Apollo's birthplace."
Olen (poet),7,""" The legend which was especially attributed to him was that of Apollo's sojourn among the Hyperboreans. """
Michelle Ferre,0,"During her youth, Michelle lived with her grandparents in Northwestern France before enrolling into an international school in Kobe, Japan."
Michelle Ferre,1,"Ferre later enrolled in Sophia University in Tokyo, majoring in International Relations and Political Science."
Michelle Ferre,2,Her ability to speak both English and Japanese led her to pursue a career in journalism.
Michelle Ferre,3,She lived in Tokyo throughout her schooling and professional career.
Michelle Ferre,4,Michelle Ferre's first acting experience was opposite Jackie Chan in the 1998 Hong Kong martial arts film Who Am I?.
Michelle Ferre,5,Jackie Chan became intrigued by Ferre's personality while being interviewed on the set of Who Am I?.
Michelle Ferre,6,Chan invited Ferre to audition for the film and she received the co - starring role of Christine Stark.
Michelle Ferre,7,Ferre's next acting role was in the 2006 Japanese drama So - Run Movie.
Michelle Ferre,8,She also appeared on the stage in Ryô Iwamatsu's Akugi.
Colossal Cave Adventure,0,"Colossal Cave Adventure (also known as ADVENT, Colossal Cave, or Adventure) is a text adventure game, developed originally in 1976, by Will Crowther for the PDP-10 mainframe."
Colossal Cave Adventure,1,"The game was expanded upon in 1977, with help from Don Woods, and other programmers created variations on the game and ports to other systems in the following years."
Colossal Cave Adventure,2,"In the game, the player controls a character through simple text commands to explore a cave rumored to be filled with wealth."
Colossal Cave Adventure,3,"Players earn predetermined points for acquiring treasure and escaping the cave alive, with the goal to earn the maximum number of points offered."
Colossal Cave Adventure,4,"The concept bore out from Crowther's background as a caving enthusiast, with the game's cave structured loosely around the Mammoth Cave system in Kentucky."
Colossal Cave Adventure,5,"Colossal Cave Adventure is the first known work of interactive fiction and, as the first text adventure game, is considered the precursor for the adventure game genre."
Colossal Cave Adventure,6,Colossal Cave Adventure also contributed towards the role playing and roguelike genres.
Otto Cuntz,0,"Otto Cuntz (10 September 1865, Stettin – 1 December 1932, Graz) was a German - Austrian classical historian, who specialized in ancient geography and topography."
Otto Cuntz,1,"He studied at the universities of Zurich, Strasbourg and Bonn, where his instructors were Heinrich Nissen, Franz Bücheler and Hermann Usener."
Otto Cuntz,2,"After graduation in 1888, he continued his education in Berlin as a student of Otto Hirschfeld and Reinhard Kekulé von Stradonitz."
Otto Cuntz,3,"In 1892 he took an extended study trip to Italy, Greece, Spain and France, then in 1894 obtained his habilitation at the University of Strasbourg."
Otto Cuntz,4,"In 1898 he became an associate professor, and six years later was appointed a full professor of Roman history at the University of Graz."
Otto Cuntz,5,In 1920 he became a corresponding member of the Austrian Academy of Sciences.
François Asselineau,0,"François Asselineau (, born 14 September 1957) is a French politician and an Inspector General for finances."
François Asselineau,1,Asselineau was a member of the Rally for France (RPF) and UMP before creating his own political party the Popular Republican Union (Union Populaire Républicaine or UPR).
François Asselineau,2,"His movement promotes France's unilateral withdrawal from the European Union, the Eurozone and NATO."
François Asselineau,3,Asselineau has been described as a souverainist but does n't self - identify as such.
François Asselineau,4,He identifies neither as right - wing nor left - wing.
François Asselineau,5,"Arrêt sur images described his background as "" typical of a right wing énarque, bordering on the far - right ""."
François Asselineau,6,His views have also been described by many observers as conspiracy theories.
François Asselineau,7,"Asselineau has had a troubled relationship with the media, which he has repeatedly accused of "" censorship ""."
François Asselineau,8,"In his critique he includes French Wikipedia, which has considered him insufficiently noteworthy to justify a page in the encyclopedia."
François Asselineau,9,The activism of his supporters to try and increase media coverage of Asselineau and the UPR has been noted by some observers.
François Asselineau,10,"He ran in the 2017 French presidential election, presenting himself as the “ Frexit candidate ”."
François Asselineau,11,"He was eventually eliminated in the first round, earning only 0.92% of the votes."
Where the Party At,0,""" Where the Party At "" is a 2001 R&B; song by American R&B; group Jagged Edge, with guest vocals by American hip - hop artist Nelly."
Where the Party At,1,"A number - one single, the song spent three weeks at number - one on the U.S. R&B; chart, and was the group's highest - charting single on the U.S."
Where the Party At,2,"Billboard Hot 100, spending five weeks at number three starting the week of September 15, 2001, stuck behind Alicia Keys'"" Fallin'"" and Jennifer Lopez's "" I'm Real (Murder Remix) ""."
Where the Party At,3,"The song was nominated for Best Rap / Sung Collaboration at the 44th Grammy Awards in 2002, a brand new category at the time."
Where the Party At,4,"It lost to Eve and Gwen Stefani's "" Let Me Blow Your Mind ""."
Chelsea (American band),0,"Chelsea was an early 1970s band from New York City, best known for being the band of drummer Peter Criss before he joined Kiss."
Chelsea (American band),1,"They released one album, the self - titled album Chelsea in 1971 and then collapsed during the recording of their unreleased second album."
Chelsea (American band),2,"In August 1971, the band became Lips (a trio consisting of Criss and his Chelsea bandmates Michael Benvenga and Stan Penridge)."
Chelsea (American band),3,"By the spring of 1973, Lips was just the duo of Criss and Penridge and eventually disbanded completely."
Chelsea (American band),4,Their sound has been compared to the Moody Blues and Procol Harum.
Chelsea (American band),5,"In 1973, Pete Shepley & Mike Brand recorded an unreleased album which included post - Chelsea Michael Benvenga, a pre - Kiss Peter Criss, and on two songs Gene Simmons as session musicians."
Chelsea (American band),6,It was titled Captain Sanity.
Nihil,0,"Nihil is the eighth studio album by industrial rock group KMFDM, released on April 4, 1995 on Wax Trax!/TVT."
Nihil,1,"Nihil was recorded in 1994 in Seattle, Washington, and marked the return of former band member Raymond Watts and the first appearance of journeyman drummer Bill Rieflin."
Nihil,2,"The album was mostly written by band leader Sascha Konietzko, who emphasized a less guitar - driven sound for the release."
Nihil,3,"Nihil's first single, "" Juke Joint Jezebel "", is the band's most widely known song of all time, with millions of copies sold over various releases."
Nihil,4,"Widely praised by critics, Nihil is the band's best - selling album."
Nihil,5,"After the original release went out of print, a remastered version was released in 2007."
Lélia Abramo,0,"Lélia Abramo (February 8, 1911 – April 9, 2004) was an Italian - Brazilian actress and political activist."
Lélia Abramo,1,"Daughter of Italian immigrants, Abramo was born and died in São Paulo, but lived in Italy from 1938 to 1950, suffering through the privations of World War II."
Lélia Abramo,2,Along with her brothers Cláudio Abramo and plastic artist Lívio Abramo she is part of one of the most prominent families in Brazilian history in both politics and the arts.
Lélia Abramo,3,She participated in the early foundation of the (Left Opposition in Brazil).
Lélia Abramo,4,"Along with Mario Pedrosa, she has always been considered a sympathizer of trotskysm."
Lélia Abramo,5,"Lélia Abramo was also a militant and was one of the founder of the Partido dos Trabalhadores (Worker's Party) along with Mario Pedrosa, Manuel da Conceição, Sérgio Buarque de Holanda, Moacir Gadotti and Apolônio de Carvalho."
Lélia Abramo,6,She was personally active in many different movements in Brazilian politics like Diretas Já.
Lélia Abramo,7,"Abramo played in 27 telenovelas, fourteen films and twenty four plays, having acted with some of the great names of São Paulo theater, like Gianni Ratto and Gianfrancesco Guarnieri with whom she debuted on stage in the 1958 in (They do not use Black - Ties)."
William B. Maclay,0,"William Brown Maclay (March 20, 1812 – February 19, 1882) was a United States Representative from New York."
William B. Maclay,1,"Born in New York City, he received private instruction and was graduated from the College of the City of New York in 1836."
William B. Maclay,2,"He was associate editor of the New York Quarterly Review in 1836, taught Latin, studied law, was admitted to the bar in 1839 and commenced the practice of his profession in New York City."
William B. Maclay,3,"He was a member of the New York State Assembly from 1840 to 1842 and was elected as a Democrat to the Twenty - eighth, Twenty - ninth, and Thirtieth Congresses, holding office from March 4, 1843 to March 3, 1849."
William B. Maclay,4,"He was an unsuccessful candidate for reelection in 1848 to the Thirty - first Congress, and was elected to the Thirty - fifth and Thirty - sixth Congresses, holding office from March 4, 1857 to March 4, 1861."
William B. Maclay,5,"He was not a candidate for reelection in 1860 to the Thirty - seventh Congress, and in 1882 died in New York City."
William B. Maclay,6,"Interment was in Green - Wood Cemetery, Brooklyn."
John Samuel Bourque,0,"John Samuel Bourque (September 8, 1894 – March 5, 1974) was a Quebec politician, Cabinet Minister, military member and businessman."
John Samuel Bourque,1,He was the Member of Legislative Assembly of Quebec for the riding of Sherbrooke for 25 years.
John Samuel Bourque,2,"Born in Sherbrooke, Quebec, Bourque studied at the Petit Séminaire de Saint - Charles - Borromée in Sherbrooke, before being enrolled in the 22nd (French Canadian) Battalion, CEF, as a soldier and sergeant where he participated in World War I in the United Kingdom."
John Samuel Bourque,3,"He was also a colonel, sergeant, major and lieutenant - colonel for the Sherbrooke Fusilliers."
John Samuel Bourque,4,He retired from the military service in 1943.
John Samuel Bourque,5,"While being in military duties, he was also a businessman running a lumber store."
John Samuel Bourque,6,Bourque was first elected in 1935 as a member of the Action libérale nationale which shortly after was merged with the Quebec Conservative Party to form the Union Nationale.
John Samuel Bourque,7,He was re - elected for six additional terms until the 1960 elections in which he lost to the Quebec Liberal Party candidate.
John Samuel Bourque,8,He served for several ministries in the Maurice Duplessis Cabinet.
John Samuel Bourque,9,"He was the Minister of Public Works from 1936 to 1939, Minister of Land and Forests from 1938 to 1939 and from 1944 to 1958, Minister of Hydraulic Resources from 1945 to 1958 and Minister of Finances from 1958 to 1960."
Atomic Blonde,0,"Atomic Blonde is a 2017 American action thriller spy film based on the 2012 graphic novel The Coldest City, which revolves around a spy who has to find a list of double agents who are being smuggled into the West, on the eve of the collapse of the Berlin Wall in 1989."
Atomic Blonde,1,"The film is directed by David Leitch, in his first solo directorial credit, and it is written by Kurt Johnstad."
Atomic Blonde,2,"The film's cast includes Charlize Theron, James McAvoy, John Goodman, Til Schweiger, Eddie Marsan, Sofia Boutella, and Toby Jones."
Atomic Blonde,3,"Atomic Blonde had its world premiere at South by Southwest on March 12, 2017 and was theatrically released in the United States on July 28, 2017, by Focus Features."
Atomic Blonde,4,"It grossed $ 100 million worldwide and received generally positive reviews from critics, who praised its action sequences, Theron's and McAvoy's performances, and the soundtrack."
Atomic Blonde,5,"Many compared the film to the John Wick series, for which Leitch was an uncredited co - director and producer of the first film."
Atomic Blonde,6,A sequel is currently in development.
March for Women's Lives,0,"The March for Women's Lives was a demonstration held on April 25, 2004 on the National Mall in Washington, D.C. protesting the Partial - Birth Abortion Ban Act and other restrictions on abortion."
March for Women's Lives,1,"March organizers estimated that 1.15 million people participated, declaring it "" the largest protest in U.S. history ""; others estimated no more than 800,000 marchers, with the Associated Press and the BBC putting the figure between 500,000 and 800,000, comparable to the Million Man March of 1995."
March for Women's Lives,2,"(The National Park Service no longer makes official estimates of attendance after the Million Man March controversy in 1994, so estimates are unofficial and may be speculative.)"
March for Women's Lives,3,"Participants protested the recently passed Partial - Birth Abortion Ban Act (2003) as well as other policies they claim to be "" anti - women ""."
March for Women's Lives,4,Pro - life protesters were present in some places along the march route.
March for Women's Lives,5,"There were no violent incidents, despite Washington Post reporter Hank Steuver referring to it as "" aggressive and even occasionally, almost delightfully, profane. """
Belgian Socialist Party,0,"The Belgian Socialist Party (, PSB;, BSP) was a social - democratic political party which existed in Belgium from 1945 to 1978."
Belgian Socialist Party,1,"During its time in office, a number of progressive social reforms were introduced."
Belgian Socialist Party,2,"The BSP was founded by activists from the Belgian Labour Party (1885 – 1940), which was the first Belgian socialist party."
